 * Serving Flask app "main.py"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
73.16.241.23 - - [05/Feb/2019 09:15:43] "GET / HTTP/1.1" 200 -
73.16.241.23 - - [05/Feb/2019 09:15:50] "GET / HTTP/1.1" 200 -
73.16.241.23 - - [05/Feb/2019 09:15:50] "GET / HTTP/1.1" 200 -
73.16.241.23 - - [05/Feb/2019 09:15:51] "GET / HTTP/1.1" 200 -
73.16.241.23 - - [05/Feb/2019 09:15:51] "GET / HTTP/1.1" 200 -
73.16.241.23 - - [05/Feb/2019 09:15:51] "GET / HTTP/1.1" 200 -
73.16.241.23 - - [05/Feb/2019 09:15:52] "GET / HTTP/1.1" 200 -
73.16.241.23 - - [05/Feb/2019 09:15:52] "GET / HTTP/1.1" 200 -
73.16.241.23 - - [05/Feb/2019 09:15:52] "GET / HTTP/1.1" 200 -
73.16.241.23 - - [05/Feb/2019 09:20:13] "GET / HTTP/1.1" 200 -
73.16.241.23 - - [05/Feb/2019 09:40:09] "GET / HTTP/1.1" 200 -
73.16.241.23 - - [05/Feb/2019 09:40:31] "GET / HTTP/1.1" 200 -
73.16.241.23 - - [05/Feb/2019 09:40:51] "GET / HTTP/1.1" 200 -
73.16.241.23 - - [05/Feb/2019 09:40:51] "GET /favicon.ico HTTP/1.1" 404 -
128.119.202.52 - - [05/Feb/2019 11:03:34] "GET / HTTP/1.1" 200 -
128.119.202.52 - - [05/Feb/2019 21:14:15] "GET / HTTP/1.1" 200 -
